team1,team2,seed_team1,seed_team2,odds_team1,team1_win,tournament_round,day
1,16,1,16,0.986842104,1,0,1
8,9,8,9,0.486842104,0,0,2
5,12,5,12,0.651315792,1,0,2
4,13,4,13,0.789473688,0,0,2
6,11,6,11,0.618421056,0,0,2
3,14,3,14,0.85526316,1,0,1
7,10,7,10,0.611842104,1,0,1
2,15,2,15,0.927631576,1,0,1
1,9,1,9,0.9411764695363322,1,1,2
5,13,5,13,0.8965517248608799,1,1,2
11,3,11,3,0.24528301984193665,0,1,1
7,2,7,2,0.23387096616024974,1,1,1
1,5,1,5,0.8938053102106664,1,2,1
3,7,3,7,0.795918366967097,1,2,2
1,3,1,3,0.779220779579693,1,3,1
17,32,1,16,0.986842104,1,0,1
24,25,8,9,0.486842104,1,0,1
21,28,5,12,0.651315792,1,0,2
20,29,4,13,0.789473688,1,0,2
22,27,6,11,0.618421056,1,0,2
19,30,3,14,0.85526316,1,0,1
23,26,7,10,0.611842104,1,0,2
18,31,2,15,0.927631576,1,0,1
17,24,1,8,0.8888888907654321,1,1,2
21,20,5,4,0.4193548385515089,1,1,1
22,19,6,3,0.3548387101519251,0,1,2
23,18,7,2,0.23387096616024974,0,1,1
17,21,1,5,0.8938053102106664,1,2,2
19,18,3,2,0.3644859813880688,0,2,1
17,18,1,2,0.6521739127561437,0,3,1
33,48,1,16,0.986842104,1,0,1
40,41,8,9,0.486842104,1,0,1
37,44,5,12,0.651315792,0,0,2
36,45,4,13,0.789473688,1,0,2
38,43,6,11,0.618421056,0,0,2
35,46,3,14,0.85526316,0,0,1
39,42,7,10,0.611842104,1,0,2
34,47,2,15,0.927631576,1,0,1
33,40,1,8,0.8888888907654321,1,1,1
44,36,12,4,0.2340425549805342,0,1,1
43,46,11,14,0.928571422367347,0,1,2
39,34,7,2,0.23387096616024974,0,1,2
33,36,1,4,0.8145161284588969,1,2,1
46,34,14,2,0.013234269765705032,0,2,2
33,34,1,2,0.6521739127561437,0,3,2
49,64,1,16,0.986842104,1,0,1
56,57,8,9,0.486842104,0,0,1
53,60,5,12,0.651315792,1,0,2
52,61,4,13,0.789473688,1,0,1
54,59,6,11,0.618421056,0,0,1
51,62,3,14,0.85526316,1,0,2
55,58,7,10,0.611842104,1,0,2
50,63,2,15,0.927631576,1,0,2
49,57,1,9,0.9411764695363322,1,1,1
53,52,5,4,0.4193548385515089,0,1,1
59,51,11,3,0.24528301984193665,0,1,2
55,50,7,2,0.23387096616024974,0,1,2
49,52,1,4,0.8145161284588969,1,2,2
51,50,3,2,0.3644859813880688,1,2,1
49,51,1,3,0.779220779579693,1,3,2
1,18,1,2,0.7399999994224,0,4,1
34,49,2,1,0.26000000057760003,0,4,1
18,49,2,1,0.17241379278715818,0,5,1
