team,seed,odds,day,tournament_round,opponent
40,8,0.486842104,1,0,41
40,8,0.1111111092345679,1,1,33
33,1,0.8888888907654321,1,1,40
42,10,0.38815789599999995,1,0,39
39,7,0.611842104,1,0,42
46,14,0.14473683999999998,1,0,35
35,3,0.85526316,1,0,46
41,9,0.5131578960000001,1,0,40
1,1,0.8275862072128419,1,5,50
39,7,0.23387096616024974,1,1,34
48,16,0.013157895999999947,1,0,33
18,2,0.34782608724385633,1,3,17
17,1,0.6521739127561437,1,3,18
20,4,0.18548387154110313,1,2,17
17,1,0.8145161284588969,1,2,20
20,4,0.7659574450194658,1,1,28
28,12,0.2340425549805342,1,1,20
25,9,0.05882353046366784,1,1,17
17,1,0.9411764695363322,1,1,25
33,1,0.986842104,1,0,48
31,15,0.07236842399999999,1,0,18
34,2,0.7661290338397503,1,1,39
34,2,0.6355140186119312,1,2,35
50,2,0.2600000005776,1,4,33
33,1,0.7399999994224,1,4,50
18,2,0.2600000005776,1,4,1
1,1,0.7399999994224,1,4,18
50,2,0.6355140186119312,1,2,51
51,3,0.3644859813880688,1,2,50
50,2,0.7983193285897888,1,1,58
58,10,0.20168067141021115,1,1,50
35,3,0.3644859813880688,1,2,34
52,4,0.5806451614484911,1,1,53
62,14,0.14473683999999998,1,0,51
51,3,0.85526316,1,0,62
59,11,0.38157894400000003,1,0,54
54,6,0.618421056,1,0,59
60,12,0.348684208,1,0,53
53,5,0.651315792,1,0,60
64,16,0.013157895999999947,1,0,49
49,1,0.986842104,1,0,64
53,5,0.4193548385515089,1,1,52
18,2,0.927631576,1,0,31
50,2,0.17241379278715807,1,5,1
23,7,0.611842104,1,0,26
9,9,0.05882353046366784,1,1,1
26,10,0.38815789599999995,1,0,23
1,1,0.9411764695363322,1,1,9
10,10,0.38815789599999995,1,0,7
7,7,0.611842104,1,0,10
14,14,0.14473683999999998,1,0,3
6,6,0.19047619030385488,1,2,2
2,2,0.8095238096961451,1,2,6
1,1,0.9523809526107332,1,3,6
4,4,0.5806451614484911,1,1,5
3,3,0.85526316,1,0,14
6,6,0.04761904738926681,1,3,1
17,1,0.986842104,1,0,32
32,16,0.013157895999999947,1,0,17
5,5,0.4193548385515089,1,1,4
30,14,0.14473683999999998,1,0,19
13,13,0.21052631200000005,1,0,4
19,3,0.85526316,1,0,30
4,4,0.789473688,1,0,13
12,12,0.348684208,1,0,5
5,5,0.651315792,1,0,12
54,6,0.3548387101519251,2,1,51
56,8,0.486842104,2,0,57
57,9,0.5131578960000001,2,0,56
16,16,0.013157895999999947,2,0,1
15,15,0.07236842399999999,2,0,2
52,4,0.789473688,2,0,61
61,13,0.21052631200000005,2,0,52
2,2,0.927631576,2,0,15
8,8,0.486842104,2,0,9
9,9,0.5131578960000001,2,0,8
55,7,0.611842104,2,0,58
58,10,0.38815789599999995,2,0,55
50,2,0.34782608724385633,2,3,49
49,1,0.6521739127561437,2,3,50
50,2,0.927631576,2,0,63
63,15,0.07236842399999999,2,0,50
49,1,0.9411764695363322,2,1,57
53,5,0.10619468978933355,2,2,49
11,11,0.38157894400000003,2,0,6
49,1,0.8938053102106664,2,2,53
6,6,0.618421056,2,0,11
51,3,0.645161289848075,2,1,54
57,9,0.05882353046366784,2,1,49
33,1,0.8938053102106664,2,2,37
33,1,0.6521739127561437,2,3,34
24,8,0.486842104,2,0,25
25,9,0.5131578960000001,2,0,24
21,5,0.651315792,2,0,28
18,2,0.6355140186119312,2,2,19
19,3,0.3644859813880688,2,2,18
28,12,0.348684208,2,0,21
37,5,0.651315792,2,0,44
20,4,0.789473688,2,0,29
23,7,0.23387096616024974,2,1,18
19,3,0.645161289848075,2,1,22
22,6,0.3548387101519251,2,1,19
29,13,0.21052631200000005,2,0,20
22,6,0.618421056,2,0,27
27,11,0.38157894400000003,2,0,22
18,2,0.7661290338397503,2,1,23
44,12,0.348684208,2,0,37
36,4,0.789473688,2,0,45
45,13,0.21052631200000005,2,0,36
6,6,0.3548387101519251,2,1,3
37,5,0.10619468978933355,2,2,33
3,3,0.645161289848075,2,1,6
10,10,0.20168067141021115,2,1,2
35,3,0.645161289848075,2,1,38
38,6,0.3548387101519251,2,1,35
36,4,0.5806451614484911,2,1,37
37,5,0.4193548385515089,2,1,36
2,2,0.7983193285897888,2,1,10
1,1,0.8938053102106664,2,2,5
47,15,0.07236842399999999,2,0,34
34,2,0.927631576,2,0,47
5,5,0.10619468978933355,2,2,1
43,11,0.38157894400000003,2,0,38
38,6,0.618421056,2,0,43
34,2,0.34782608724385633,2,3,33
1,1,0.986842104,2,0,16
